aligned_time,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.5,0.940175,1.406075,0.8844,-2.65,-1.12255,-2.5378,-0.960125
0.005,1.5,0.94905,1.40605,0.8967750000000154,-2.65,-1.1243,-2.5378,-1.0312500000000293
0.01,1.5,0.9526500000000018,1.406025,0.9153500000000308,-2.65,-1.1268999999999987,-2.5378,-1.0194
0.015,1.5,0.9537249999999999,1.406075,0.902975,-2.65,-1.124275,-2.5378,-1.066825
0.02,1.5,0.93725,1.406075,0.9246249999999868,-2.65,-1.125075,-2.5378,-1.07865
0.025,1.5,0.9511375000000222,1.406075,0.8906,-2.65,-1.1323093749999917,-2.5378,-1.019400000000021
0.03,1.5,0.9461250000000005,1.406075,0.90295,-2.65,-1.1309749999999967,-2.5378,-1.05495
0.035,1.5,0.9418968749999995,1.4061,0.927725,-2.65,-1.1347593750000005,-2.5378,-1.066825
0.04,1.5,0.9628749999999529,1.406075,0.8906,-2.65,-1.1301749999999975,-2.5378,-1.0431
0.045,1.5,0.955675,1.406025,0.9091250000000143,-2.65,-1.131475,-2.5378,-1.0194000000000547
0.05,1.5,0.96315,1.4059875000000006,0.8844125000000661,-2.65,-1.126325,-2.5378,-1.0431
0.055,1.5,0.9523687500000498,1.40605,0.8905750000000039,-2.65,-1.1273281249999854,-2.5378,-1.0786499999999926
0.06,1.5,0.9442749999999993,1.40605,0.9215249999999999,-2.65,-1.1274250000000174,-2.5378,-1.0194000000000378
0.065,1.5,0.9500843750000014,1.40605,0.896775,-2.65,-1.13216249999999,-2.5378,-1.0549499999999663
0.07,1.5,0.956475,1.406075,0.9091624999999622,-2.65,-1.130675,-2.5378,-1.05495
0.075,1.5,0.9499500000000001,1.406075,0.9091500000000043,-2.65,-1.130925,-2.5378,-1.0194
0.08,1.5,0.95155,1.406075,0.927725,-2.65,-1.11615,-2.5378,-1.05495
0.085,1.5,0.9431499999999999,1.4061,0.8906,-2.65,-1.135275,-2.5378,-1.06679999999999
0.09,1.5,0.962325000000002,1.406025,0.90915,-2.65,-1.1261250000000007,-2.5378,-1.0608750000000027
0.095,1.5,0.94635,1.406075,0.9029499999999999,-2.65,-1.12705,-2.5378,-1.0905
0.1,1.5,0.9471000000000209,1.40605,0.9091499999999999,-2.65,-1.1342499999999984,-2.5378,-1.03125
0.105,1.5,0.9497750000000218,1.4060225,0.8782,-2.65,-1.121775,-2.5378,-1.0454950000000234
0.11,1.5,0.9226750000000028,1.406025,0.9091500000000117,-2.65,-1.1314999999999993,-2.5378,-1.0727374999999437
0.115,1.5,0.938625,1.40605,0.90915,-2.65,-1.126625,-2.5378,-1.0668
0.12,1.5,0.967175,1.4060000000000001,0.8967749999999051,-2.65,-1.127875,-2.5378,-1.0134999999999539
0.125,1.5,0.94095,1.406075,0.91535,-2.65,-1.12225,-2.5378,-1.05495
0.13,1.5,0.9487,1.406025,0.8906,-2.65,-1.126925,-2.5378,-1.0668
0.135,1.5,0.9379999999999791,1.4061,0.902975,-2.65,-1.126149999999997,-2.5378,-1.078675
0.14,1.5,0.941625,1.406075,0.9122499999999621,-2.65,-1.131175,-2.5378,-1.0194
0.145,1.5,0.95105,1.40605,0.8844,-2.65,-1.1328,-2.5378,-1.0431000000000124
0.15,1.5,0.966487500000009,1.406025,0.8906000000000438,-2.65,-1.1301874999999975,-2.5378,-1.0431000000000419
0.155,1.5,0.950725,1.40605,0.8911386363636578,-2.65,-1.121025,-2.537775,-0.9967772727273494
0.16,1.5,0.9521499999999999,1.40605,0.90915,-2.65,-1.125075,-2.5378,-1.0312749999998987
0.165,1.5,0.9625,1.406025,0.9029750000000152,-2.65,-1.12845,-2.5378,-1.0796625000000055
0.17,1.5,0.9356250000000194,1.40605,0.9277,-2.65,-1.1228000000000007,-2.5378,-1.078662500000115
0.17500000000000002,1.5,0.959875,1.406075,0.8844,-2.65,-1.131225,-2.5378,-1.0312499999999323
0.18,1.5,0.947675,1.4060625,0.9153375000000197,-2.65,-1.12915,-2.5378,-1.0312500000000047
0.185,1.5,0.9465250000000001,1.4061,0.91535,-2.65,-1.125275,-2.5378,-1.043100000000019
0.19,1.5,0.9478,1.40605,0.896775,-2.65,-1.119775,-2.5378,-1.0668125000000592
0.195,1.5,0.928775000000003,1.406025,0.91535,-2.65,-1.1230499999999983,-2.5378,-1.0668
0.2,1.5,0.9334750000000049,1.406025,0.8782,-2.65,-1.1298999999999968,-2.5378,-1.0194
0.20500000000000002,1.5,0.9361750000000157,1.406025,0.8906000000000266,-2.65,-1.1251250000000044,-2.5378,-1.054950000000051
0.21,1.5,0.9516,1.40605,0.9122499999999716,-2.65,-1.1251,-2.5378,-1.0608749999999456
0.215,1.5,0.95,1.406075,0.8905750000000011,-2.65,-1.13455,-2.5378,-1.0786499999999979
0.22,1.5,0.9638,1.40605,0.9060625000001057,-2.65,-1.125375,-2.5378,-1.0845999999999663
0.225,1.5,0.9393750000000001,1.4061,0.9277,-2.65,-1.1289500000000001,-2.5378,-1.0668
0.23,1.5,0.9479999999999933,1.406075,0.915349999999903,-2.65,-1.1233500000000074,-2.5378,-1.0786750000003718
0.23500000000000001,1.5,0.9721249999999899,1.406075,0.884399999999994,-2.65,-1.1291999999999998,-2.5378,-1.0668000000000115
0.24,1.5,0.9345,1.406075,0.9184250000000207,-2.65,-1.1268500000000001,-2.5378,-1.00755
0.245,1.5,0.9380750000000126,1.406075,0.896775,-2.65,-1.1287000000000027,-2.5378,-1.0549499999999328
0.25,1.5,0.9575,1.406025,0.8844,-2.65,-1.1230250000000002,-2.5378,-1.1023875000001053
0.255,1.5,0.953525,1.406025,0.9339000000000077,-2.65,-1.1236,-2.5378,-1.0549499999999998
0.26,1.5,0.9623499999999998,1.40605,0.8967750000000247,-2.65,-1.1261250000000014,-2.5378,-1.1023999999999052
0.265,1.5,0.960425,1.40605,0.927725,-2.65,-1.135,-2.537775,-1.054975
0.27,1.5,0.9445250000000034,1.40605,0.8844,-2.65,-1.1276500000000005,-2.5378,-1.066825
0.275,1.5,0.961850000000001,1.406075,0.8844000000000335,-2.65,-1.1368250000000004,-2.5378,-1.0905249999999145
0.28,1.5,0.949125,1.406075,0.9215249999999999,-2.65,-1.13435,-2.5378,-1.054975
0.28500000000000003,1.5,0.9525,1.40605,0.91535,-2.65,-1.127375,-2.5378,-1.0549499999999998
0.29,1.5,0.9404750000000001,1.40605,0.9339,-2.65,-1.125625,-2.5378,-1.05495
0.295,1.5,0.9678250000000119,1.40605,0.8906,-2.65,-1.1330499999999963,-2.5378,-1.00755
0.3,1.5,0.9371500000000088,1.4060499999999998,0.921525,-2.65,-1.1225249999999922,-2.5378,-1.078650000000084
0.305,1.5,0.9372749999999994,1.4061,0.8967750000000019,-2.65,-1.127399999999999,-2.5378249999999998,-0.98385
0.31,1.5,0.9532500000000097,1.4061,0.91535,-2.65,-1.1243249999999925,-2.5378,-1.0786749999995457
0.315,1.5,0.9484750000000457,1.406075,0.8844,-2.65,-1.1367499999999966,-2.5378,-1.090525
0.32,1.5,0.9425749999999999,1.4061,0.9184375000000189,-2.65,-1.134025,-2.5378,-1.072750000000036
0.325,1.5,0.937675,1.406075,0.91535,-2.65,-1.12635,-2.5378,-1.066850000000032
0.33,1.5,0.9496,1.4060875,0.902974999999929,-2.65,-1.1310250000000002,-2.5378,-1.0490249999999506
0.335,1.5,0.947525,1.406075,0.9277250000000421,-2.65,-1.1248500000000001,-2.5378,-1.090525
0.34,1.5,0.961725,1.4060727272727274,0.91535,-2.65,-1.126325,-2.5378,-1.064645454545465
0.34500000000000003,1.5,0.9496406249999912,1.40605,0.9029499999999856,-2.65,-1.1317874999999986,-2.5378,-1.0312499999999725
0.35000000000000003,1.5,0.953475,1.406025,0.8844,-2.65,-1.131725,-2.5378,-1.03125
0.355,1.5,0.95705,1.406025,0.902975,-2.65,-1.1284,-2.5378,-1.0431
0.36,1.5,0.9584749999999942,1.40605,0.8967749999999828,-2.65,-1.1269000000000005,-2.5378,-1.0312499999999836
0.365,1.5,0.960275,1.40605,0.9079124999999851,-2.65,-1.1271,-2.5378,-1.0431
0.37,1.5,0.9398500000000108,1.4060833333333334,0.917399999999968,-2.65,-1.122274999999988,-2.5378,-0.9838499999999496
0.375,1.5,0.9413,1.406075,0.902975,-2.65,-1.1222750000000001,-2.5378,-1.03125
0.38,1.5,0.9458,1.40605,0.8905874999999381,-2.65,-1.1351,-2.537775,-1.03125
0.385,1.5,0.950875000000021,1.40605,0.909149999999969,-2.65,-1.130950000000011,-2.5378,-0.9957000000000592
0.39,1.5,0.9561249999999973,1.406025,0.896775,-2.65,-1.127449999999993,-2.5378,-1.078675
0.395,1.5,0.951525,1.406075,0.91535,-2.65,-1.124325,-2.5378,-1.0549499999999998
0.4,1.5,0.93245,1.4060625,0.8967875000000343,-2.65,-1.132275,-2.5378,-1.0668124999999342
0.405,1.5,0.9614,1.406025,0.9091500000000504,-2.65,-1.122575,-2.5378,-1.0549500000000964
0.41000000000000003,1.5,0.950675,1.4060749999999997,0.896775,-2.65,-1.1289500000000001,-2.5378,-1.0549500000001035
0.41500000000000004,1.5,0.9569499999999969,1.40605,0.9276999999999891,-2.65,-1.1302499999999953,-2.5378,-1.1023999999999894
0.42,1.5,0.9471000000000005,1.406075,0.902975,-2.65,-1.1365999999999996,-2.5378,-1.0668
0.425,1.5,0.9307250000000078,1.4061,0.91535,-2.65,-1.131524999999997,-2.537775,-1.0668
0.43,1.5,0.943325000000005,1.4061,0.8967750000000069,-2.65,-1.129424999999999,-2.5378,-1.0272999999999965
0.435,1.5,0.956475,1.40605,0.8843999999999921,-2.65,-1.128625,-2.5378,-0.9957000000000302
0.44,1.5,0.9521000000000001,1.4060625,0.9153500000000704,-2.65,-1.1322999999999999,-2.537775,-1.0549499999999326
0.445,1.5,0.9422,1.406075,0.9215249999999999,-2.65,-1.117975,-2.537775,-1.0431
0.45,1.5,0.9584749999999974,1.406075,0.8844,-2.65,-1.126875000000001,-2.5378,-1.0549499999999998
0.455,1.5,0.9568749999999892,1.4061,0.90915,-2.65,-1.1262000000000019,-2.5378,-1.0075500000000408
0.46,1.5,0.9547749999999999,1.406075,0.90915,-2.65,-1.13585,-2.5378,-1.0431
0.465,1.5,0.959775,1.406075,0.915349999999997,-2.65,-1.132825,-2.5378,-1.07865
0.47000000000000003,1.5,0.9378000000000094,1.4061,0.884400000000042,-2.65,-1.124400000000001,-2.5378,-1.066799999999977
0.47500000000000003,1.5,0.943075,1.40605,0.9029749999999664,-2.65,-1.134325,-2.5378,-1.043100000000032
0.48,1.5,0.939425,1.40605,0.8844,-2.65,-1.12595,-2.5378,-1.0905250000001843
0.485,1.5,0.9623249999999772,1.40605,0.8782,-2.65,-1.1287000000000023,-2.5378,-1.0194
0.49,1.5,0.9467000000000012,1.406075,0.896775,-2.65,-1.125375000000008,-2.5378,-1.05495
0.495,1.5,0.9603562500000131,1.406,0.8844,-2.65,-1.1277499999999892,-2.5378,-1.0193999999999395
0.5,1.499875,0.9487,1.40605,0.902975,-2.649925,-1.1292499999999999,-2.5378,-1.0668
0.505,1.4974250000000011,0.9424,1.40605,0.9277249999999863,-2.6483275000000006,-1.1171,-2.5378,-1.0431
