timestamp,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.4711,,,,-2.6313,,,
0.0,1.4711,,,,-2.6313,,,
0.0,1.4711,,,,-2.6313,,,
0.0019,1.4711,,,,-2.6313,,,
0.0028,1.4711,,,,-2.6313,,,
0.0039,1.4711,,,,-2.6313,,,
0.0052,1.4711,,,,-2.6313,,,
0.0057,1.4711,,,,-2.6313,,,
0.0069,1.4711,,,,-2.6313,,,
0.0078,1.4711,,,,-2.6313,,,
0.0095,1.4711,,,,-2.6313,,,
0.0096,1.4711,,,,-2.6313,,,
0.0107,1.4711,,,,-2.6313,,,
0.0119,1.4711,,,,-2.6313,,,
0.0126,1.4711,,,,-2.6313,,,
0.0184,1.4711,,,,-2.6313,,,
0.0205,1.4711,,,,-2.6313,,,
0.0216,1.4711,,,,-2.6313,,,
0.0238,1.4711,,,,-2.6313,,,
0.0239,1.4711,,,,-2.6313,,,
0.0247,1.4711,,,,-2.6313,,,
0.0255,1.4711,,,,-2.6313,,,
0.0267,1.4711,,,,-2.6314,,,
0.0279,1.4712,,,,-2.6314,,,
0.0286,1.4712,,,,-2.6314,,,
0.0295,1.4712,,,,-2.6314,,,
0.0321,1.4712,,,,-2.6314,,,
0.0328,1.4712,,,,-2.6314,,,
0.0343,1.4712,,,,-2.6314,,,
0.0347,1.4712,,,,-2.6314,,,
0.0357,1.4712,,,,-2.6314,,,
0.0368,1.4712,,,,-2.6314,,,
0.0376,1.4712,,,,-2.6314,,,
0.0386,1.4712,,,,-2.6314,,,
0.0401,1.4712,,,,-2.6314,,,
0.0406,1.4712,,,,-2.6314,,,
0.0416,1.4712,,,,-2.6314,,,
0.0425,1.4712,,,,-2.6314,,,
0.0435,1.4712,,,,-2.6314,,,
0.0444,1.4712,,,,-2.6314,,,
0.046,1.4712,,,,-2.6314,,,
0.0473,1.4712,,,,-2.6314,,,
0.0475,1.4712,,,,-2.6314,,,
0.0485,1.4712,,,,-2.6314,,,
0.0505,1.4712,,,,-2.6314,,,
0.0518,1.4712,,,,-2.6314,,,
0.0526,1.4712,,,,-2.6314,,,
0.0542,1.4712,,,,-2.6314,,,
0.0549,1.4712,,,,-2.6314,,,
0.0559,1.4712,,,,-2.6314,,,
0.0566,1.4713,,,,-2.6314,,,
0.0574,1.4713,,,,-2.6314,,,
0.0594,1.4713,,,,-2.6314,,,
0.0597,1.4713,,,,-2.6314,,,
0.0605,1.4713,,,,-2.6314,,,
0.0618,1.4713,,,,-2.6314,,,
0.0639,1.4713,,,,-2.6314,,,
0.0639,1.4713,,,,-2.6314,,,
0.0653,1.4713,,,,-2.6314,,,
0.0658,1.4713,,,,-2.6314,,,
0.0665,1.4713,,,,-2.6314,,,
0.0676,1.4713,,,,-2.6314,,,
0.0685,1.4713,,,,-2.6314,,,
0.0695,1.4713,,,,-2.6314,,,
0.0705,1.4713,,,,-2.6315,,,
0.0728,1.4713,,,,-2.6315,,,
0.0729,1.4713,,,,-2.6315,,,
0.0736,1.4713,,,,-2.6315,,,
0.0759,1.4713,,,,-2.6315,,,
0.076,1.4713,,,,-2.6315,,,
0.0765,1.4713,,,,-2.6315,,,
0.078,1.4713,,,,-2.6315,,,
0.0788,1.4713,,,,-2.6315,,,
0.0795,1.4713,,,,-2.6315,,,
0.0807,1.4713,,,,-2.6315,,,
0.0818,1.4713,,,,-2.6315,,,
0.0825,1.4713,,,,-2.6315,,,
0.0836,1.4714,,,,-2.6315,,,
0.0849,1.4714,,,,-2.6315,,,
0.0857,1.4714,,,,-2.6315,,,
0.0867,1.4714,,,,-2.6315,,,
0.0883,1.4714,,,,-2.6315,,,
0.0898,1.4714,,,,-2.6315,,,
0.091,1.4714,,,,-2.6315,,,
0.0915,1.4714,,,,-2.6315,,,
0.0926,1.4714,,,,-2.6315,,,
0.0936,1.4714,,,,-2.6315,,,
0.0946,1.4714,,,,-2.6315,,,
0.0959,1.4714,,,,-2.6315,,,
0.0964,1.4714,,,,-2.6315,,,
0.0975,1.4714,,,,-2.6315,,,
0.0986,1.4714,,,,-2.6315,,,
0.0995,1.4714,,,,-2.6315,,,
0.1008,1.4714,,,,-2.6315,,,
0.1021,1.4714,,,,-2.6315,,,
0.103,1.4714,,,,-2.6315,,,
0.1039,1.4714,,,,-2.6315,,,
0.1053,1.4714,,,,-2.6315,,,
0.1063,1.4714,,,,-2.6315,,,
0.1071,1.4714,,,,-2.6315,,,
0.1077,1.4714,,,,-2.6315,,,
0.109,1.4714,,,,-2.6315,,,
0.1103,1.4714,,,,-2.6315,,,
0.1107,1.4714,,,,-2.6315,,,
0.112,1.4715,,,,-2.6315,,,
0.1134,1.4715,,,,-2.6316,,,
0.1141,1.4715,,,,-2.6316,,,
0.1185,1.4715,,,,-2.6316,,,
0.1188,1.4715,,,,-2.6316,,,
0.1189,1.4715,,,,-2.6316,,,
0.1202,1.4715,,,,-2.6316,,,
0.1206,1.4715,,,,-2.6316,,,
0.122,1.4715,,,,-2.6316,,,
0.1228,1.4715,,,,-2.6316,,,
0.1235,1.4715,,,,-2.6316,,,
0.1247,1.4715,,,,-2.6316,,,
0.1257,1.4715,,,,-2.6316,,,
0.1268,1.4715,,,,-2.6316,,,
0.1279,1.4715,,,,-2.6316,,,
0.1285,1.4715,,,,-2.6316,,,
0.1297,1.4715,,,,-2.6316,,,
0.131,1.4715,,,,-2.6316,,,
