aligned_time,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.0,1.499075,0.72255,1.426825,0.53025,-2.64965,-0.414475,-2.6082,-0.277625
0.005,1.4990999999999999,0.7226250000000001,1.426825,0.53025,-2.64965,-0.4145,-2.6082,-0.277625
0.01,1.4990999999999999,0.7227,1.426825,0.53025,-2.64965,-0.414525,-2.6082,-0.277625
0.015,1.4990999999999999,0.72285,1.426825,0.53025,-2.64965,-0.41457499999999997,-2.6082,-0.277625
0.02,1.499125,0.722925,1.426825,0.530275,-2.649675,-0.41459999999999997,-2.6082,-0.27765
0.025,1.499125,0.7229857142857143,1.426825,0.5303,-2.649675,-0.4146285714285714,-2.6082,-0.27765
0.03,1.49915,0.723125,1.426825,0.5303,-2.649675,-0.414675,-2.6082,-0.27765
0.035,1.49915,0.7232000000000001,1.426825,0.5303,-2.649675,-0.41469999999999996,-2.6082,-0.27765
0.04,1.49915,0.723275,1.426825,0.530275,-2.649675,-0.414725,-2.6082,-0.27765
0.045,1.499175,0.72335,1.426825,0.530275,-2.649675,-0.414775,-2.6082,-0.27765
0.05,1.499175,0.723425,1.426825,0.530275,-2.649675,-0.4148,-2.6082,-0.27765
0.055,1.499175,0.7235750000000001,1.426825,0.530275,-2.6497,-0.41485,-2.6082,-0.277625
0.06,1.4992,0.72365,1.426825,0.530275,-2.6497,-0.414875,-2.6082,-0.277625
0.065,1.4992,0.7237250000000001,1.426825,0.530275,-2.6497,-0.414925,-2.6082,-0.277625
0.07,1.4992,0.7238,1.426825,0.5303,-2.6497,-0.41495,-2.6082,-0.27765
0.075,1.499225,0.723875,1.426825,0.5303,-2.6497,-0.414975,-2.6082,-0.27765
0.08,1.499225,0.724,1.426825,0.530275,-2.6497,-0.415025,-2.6082,-0.27765
0.085,1.499225,0.724025,1.426825,0.530275,-2.6497,-0.415025,-2.6082,-0.27765
0.09,1.49925,0.7241,1.426825,0.53025,-2.6497,-0.41505,-2.6082,-0.277625
0.095,1.49925,0.7241937500000001,1.426825,0.53025,-2.649725,-0.41508750000000005,-2.6082,-0.277625
0.1,1.49925,0.724325,1.426825,0.53025,-2.649725,-0.41514999999999996,-2.6082,-0.277625
0.105,1.499275,0.7244000000000002,1.426825,0.530275,-2.649725,-0.4151666666666667,-2.6082,-0.277625
0.11,1.499275,0.7245250000000001,1.426825,0.530275,-2.649725,-0.41522499999999996,-2.6082,-0.277625
0.115,1.4993,0.7246250000000001,1.426825,0.530275,-2.649725,-0.41525,-2.6082,-0.27764
0.12,1.4993,0.7247,1.426825,0.5303249999999999,-2.649725,-0.4153,-2.6082,-0.277675
0.125,1.4993,0.7247750000000001,1.426825,0.5303249999999999,-2.649725,-0.4153,-2.6082,-0.277675
0.13,1.499325,0.724875,1.426825,0.5303,-2.64975,-0.41535833333333333,-2.6082,-0.27765
0.135,1.499325,0.7250000000000001,1.426825,0.5303,-2.64975,-0.4154,-2.6082,-0.27765
0.14,1.499325,0.725075,1.426825,0.5303249999999999,-2.64975,-0.415425,-2.6082,-0.27765
0.145,1.49935,0.72515,1.426825,0.5303,-2.64975,-0.41545,-2.6082,-0.27765
0.15,1.49935,0.7252500000000001,1.426825,0.5303249999999999,-2.64975,-0.4155,-2.6082,-0.27765
0.155,1.4993750000000001,0.7253400000000001,1.426825,0.5303249999999999,-2.64975,-0.41553,-2.6082,-0.277675
0.16,1.4993750000000001,0.72545,1.426825,0.5303249999999999,-2.64975,-0.41557499999999997,-2.6082,-0.277675
0.165,1.4993750000000001,0.7255142857142858,1.426825,0.5303249999999999,-2.649775,-0.4156035714285714,-2.6082,-0.277675
0.17,1.4994,0.7256750000000001,1.426825,0.5303249999999999,-2.649775,-0.41564999999999996,-2.6082,-0.27765
0.17500000000000002,1.4994,0.72575,1.426825,0.5303249999999999,-2.649775,-0.41567499999999996,-2.6082,-0.27765
0.18,1.4994,0.725825,1.426825,0.5303249999999999,-2.649775,-0.41569999999999996,-2.6082,-0.27765
0.185,1.499425,0.7259071428571429,1.426825,0.5303,-2.649775,-0.41575357142857144,-2.6082,-0.27765
0.19,1.499425,0.725975,1.426825,0.5303,-2.649775,-0.41578333333333334,-2.6082,-0.27765
0.195,1.4994399999999999,0.7261,1.426825,0.5303249999999999,-2.649775,-0.415825,-2.6082,-0.27765
0.2,1.49945,0.726175,1.426825,0.5304,-2.6498,-0.41585,-2.6082,-0.27765
0.20500000000000002,1.49945,0.7262291666666667,1.426825,0.530475,-2.6498,-0.4158791666666667,-2.6082,-0.277625
0.21,1.499475,0.726275,1.42685,0.53055,-2.6498,-0.41595,-2.6082,-0.277625
0.215,1.499475,0.7263000000000001,1.42685,0.530575,-2.6498,-0.415975,-2.6082,-0.277625
0.22,1.499475,0.7263000000000001,1.42685,0.530575,-2.6498,-0.416,-2.6082,-0.27765
0.225,1.4995,0.7263000000000001,1.42685,0.5306,-2.6498,-0.41605,-2.6082,-0.27765
0.23,1.4995,0.7263000000000001,1.42685,0.530575,-2.6498,-0.416075,-2.6082,-0.27765
0.23500000000000001,1.499525,0.726275,1.42685,0.53057,-2.649825,-0.41609999999999997,-2.6082,-0.27765
0.24,1.499525,0.726275,1.42685,0.530575,-2.649825,-0.41614999999999996,-2.6082,-0.277675
0.245,1.499525,0.726275,1.426875,0.530575,-2.649825,-0.41617857142857145,-2.6082,-0.277675
0.25,1.49955,0.726275,1.426875,0.5305708333333333,-2.649825,-0.4162,-2.6082,-0.277675
0.255,1.49955,0.726275,1.426875,0.53055,-2.649825,-0.41625,-2.6082,-0.277675
0.26,1.49955,0.7262500000000001,1.426875,0.53055,-2.649825,-0.4163,-2.6082,-0.277675
0.265,1.499575,0.7262500000000001,1.4269,0.53055,-2.649825,-0.416325,-2.6082,-0.277675
0.27,1.499575,0.726246875,1.4269,0.530525,-2.64985,-0.416353125,-2.6082,-0.277675
0.275,1.4996,0.726225,1.4269,0.5305249999999999,-2.64985,-0.4164,-2.6082,-0.277675
0.28,1.4996,0.7262,1.426905,0.5305,-2.64985,-0.416425,-2.6082,-0.277675
0.28500000000000003,1.4996,0.7262,1.426925,0.530475,-2.64985,-0.41645,-2.6082,-0.277675
0.29,1.499625,0.726175,1.426925,0.530475,-2.64985,-0.41650625,-2.6082,-0.277675
0.295,1.499625,0.7261500000000001,1.42695,0.53045,-2.64985,-0.41655,-2.6082,-0.277675
0.3,1.499625,0.7261500000000001,1.42695,0.53045,-2.64985,-0.416578125,-2.6082,-0.277675
0.305,1.49965,0.726125,1.42695,0.530425,-2.6498749999999998,-0.41662499999999997,-2.6082,-0.277675
0.31,1.49965,0.726125,1.426975,0.530425,-2.6498749999999998,-0.41664999999999996,-2.6082,-0.277675
0.315,1.4996749999999999,0.726125,1.426975,0.5304,-2.6498749999999998,-0.41667499999999996,-2.6082,-0.277675
0.32,1.4996749999999999,0.7261178571428571,1.426975,0.5304,-2.6498749999999998,-0.41670714285714283,-2.6082,-0.27765
0.325,1.4996749999999999,0.7261,1.427,0.5304,-2.6498749999999998,-0.41674999999999995,-2.6082,-0.27765
0.33,1.4997,0.7261,1.427,0.530375,-2.6498749999999998,-0.4168,-2.6082,-0.27765
0.335,1.4997,0.7261,1.427,0.530375,-2.6498749999999998,-0.416825,-2.6082,-0.27765
0.34,1.4997,0.7261,1.427025,0.530375,-2.6498999999999997,-0.41685,-2.6082,-0.27765
0.34500000000000003,1.499725,0.7261,1.427025,0.530375,-2.6498999999999997,-0.4169,-2.6082,-0.27765
0.35000000000000003,1.499725,0.7261,1.42705,0.530375,-2.6498999999999997,-0.4169285714285714,-2.6082,-0.27765
0.355,1.4997500000000001,0.7261,1.42705,0.530375,-2.6498999999999997,-0.416975,-2.6082,-0.27765
0.36,1.4997500000000001,0.7261,1.42705,0.530375,-2.6498999999999997,-0.4170027777777778,-2.6082,-0.27765
0.365,1.4997500000000001,0.7261,1.4270749999999999,0.530375,-2.6498999999999997,-0.41705,-2.6082,-0.27765
0.37,1.499775,0.7261,1.4270749999999999,0.530375,-2.6498999999999997,-0.417075,-2.6082,-0.27765
0.375,1.499775,0.7261,1.4270749999999999,0.530375,-2.649925,-0.41709999999999997,-2.6082,-0.27765
0.38,1.499775,0.7261,1.4271,0.5304,-2.649925,-0.41714999999999997,-2.6082,-0.27765
0.385,1.4998,0.726125,1.4271,0.5304,-2.649925,-0.4172,-2.6082,-0.27765
0.39,1.4998,0.726125,1.427105,0.5304,-2.649925,-0.41722499999999996,-2.6082,-0.27765
0.395,1.49981,0.726125,1.427125,0.5304,-2.649925,-0.41725,-2.6082,-0.27765
0.4,1.499825,0.726121875,1.427125,0.5304,-2.649925,-0.417278125,-2.6082,-0.27765
0.405,1.499825,0.726125,1.42715,0.5304,-2.649925,-0.417325,-2.6082,-0.27765
0.41000000000000003,1.49985,0.726125,1.42715,0.530425,-2.64995,-0.41735,-2.6082,-0.27765
0.41500000000000004,1.49985,0.7261375000000001,1.42715,0.530425,-2.64995,-0.4173875,-2.6082,-0.27765
0.42,1.49985,0.726175,1.427175,0.530425,-2.64995,-0.41745,-2.6082,-0.27765
0.425,1.499875,0.726175,1.427175,0.53045,-2.64995,-0.417475,-2.6082,-0.277675
0.43,1.499875,0.726175,1.427175,0.53045,-2.64995,-0.4175,-2.6082,-0.277675
0.435,1.4999,0.726175,1.4272,0.53045,-2.64995,-0.41752812499999997,-2.6082,-0.277675
0.44,1.4999,0.726175,1.4272,0.530475,-2.64995,-0.417575,-2.6082,-0.27765
0.445,1.4999,0.726175,1.4272,0.530475,-2.649975,-0.417603125,-2.6082,-0.27765
0.45,1.499925,0.726175,1.427225,0.530475,-2.649975,-0.41764999999999997,-2.6082,-0.27765
0.455,1.499925,0.726175,1.427225,0.530475,-2.649975,-0.4176785714285714,-2.6082,-0.27765
0.46,1.499925,0.726175,1.42725,0.530475,-2.649975,-0.417725,-2.6082,-0.27765
0.465,1.4999500000000001,0.7262,1.42725,0.530475,-2.649975,-0.41774999999999995,-2.6082,-0.27765
0.47000000000000003,1.4999500000000001,0.726175,1.42725,0.530475,-2.649975,-0.4178,-2.6082,-0.277675
0.47500000000000003,1.499975,0.726175,1.427275,0.530475,-2.649975,-0.417825,-2.6082,-0.27765
0.48,1.499975,0.726175,1.427275,0.530475,-2.65,-0.41785,-2.6082,-0.27765
0.485,1.499975,0.726175,1.427275,0.530475,-2.65,-0.41788125,-2.6082,-0.27765
0.49,1.5,0.726175,1.4273,0.530475,-2.65,-0.41795,-2.6082,-0.27765
0.495,1.5,0.7262,1.4273,0.530475,-2.65,-0.417975,-2.6082,-0.27765
0.5,1.4986208333333344,0.7224,1.4273,0.530475,-2.6490808333333344,-0.4155,-2.6082,-0.27765
0.505,1.496012389520202,0.7016999999999993,1.427325,0.52795,-2.647380871212121,-0.40188749999999956,-2.6082,-0.278025
